,Processor Time,LogBytesFlushedSec,DiskWrites,DiskReads,CPU-DTU-Value,CPU-True-DTU-Value,CPU-DTU-Name,IOP-DTU-Value,IOP-True-DTU-Value,IOP-DTU-Name,LogBytes-DTU-Value,LogBytes-True-DTU-Value,LogBytes-DTU-Name,TotalServiceTierName
9853,2,9,7,8,50,32.0,Standard - S2,5,4.6875,Basic,5,0.000171661377,Basic,50
9854,.,6,9,.,5,0.0,Basic,5,2.8125,Basic,5,0.000114440918,Basic,5
9855,1,1,7,1,20,16.0,Standard - S1,5,2.5,Basic,5,1.90734863e-05,Basic,20
9856,6,3,5,8,100,96.0,Standard - S3,5,4.0625,Basic,5,5.722046e-05,Basic,100
9857,5,4,0,0,100,80.0,Standard - S3,5,0.0,Basic,5,7.62939453e-05,Basic,100
9858,.,8,2,.,5,0.0,Basic,5,0.625,Basic,5,0.000152587891,Basic,5
9859,8,2,6,1,200,128.0,Standard - S4,5,2.1875,Basic,5,3.81469727e-05,Basic,200
9860,7,3,1,6,200,112.0,Standard - S4,5,2.1875,Basic,5,5.722046e-05,Basic,200
9861,0,8,1,0,5,0.0,Basic,5,0.3125,Basic,5,0.000152587891,Basic,5
9862,3,3,1,9,50,48.0,Standard - S2,5,3.125,Basic,5,5.722046e-05,Basic,50
9863,1,4,2,8,20,16.0,Standard - S1,5,3.125,Basic,5,7.62939453e-05,Basic,20
9864,9,7,2,2,200,144.0,Standard - S4,5,1.25,Basic,5,0.0001335144,Basic,200
9865,6,0,1,4,100,96.0,Standard - S3,5,1.5625,Basic,5,0.0,Basic,100
9866,1,4,2,1,20,16.0,Standard - S1,5,0.9375,Basic,5,7.62939453e-05,Basic,20
9867,4,1,5,3,100,64.0,Standard - S3,5,2.5,Basic,5,1.90734863e-05,Basic,100
9868,4,.,0,2,100,64.0,Standard - S3,5,0.625,Basic,5,0.0,Basic,100
9869,7,3,.,9,200,112.0,Standard - S4,5,2.8125,Basic,5,5.722046e-05,Basic,200
9870,6,9,.,9,100,96.0,Standard - S3,5,2.8125,Basic,5,0.000171661377,Basic,100
9871,1,4,0,9,20,16.0,Standard - S1,5,2.8125,Basic,5,7.62939453e-05,Basic,20
9872,6,4,8,0,100,96.0,Standard - S3,5,2.5,Basic,5,7.62939453e-05,Basic,100
9873,4,6,7,3,100,64.0,Standard - S3,5,3.125,Basic,5,0.000114440918,Basic,100
9874,9,5,8,4,200,144.0,Standard - S4,5,3.75,Basic,5,9.536743e-05,Basic,200
9875,3,5,2,4,50,48.0,Standard - S2,5,1.875,Basic,5,9.536743e-05,Basic,50
9876,6,9,4,4,100,96.0,Standard - S3,5,2.5,Basic,5,0.000171661377,Basic,100
9877,8,8,5,0,200,128.0,Standard - S4,5,1.5625,Basic,5,0.000152587891,Basic,200
9878,6,0,9,8,100,96.0,Standard - S3,10,0.130496472,Standard - S0,5,0.0,Basic,100
9879,7,7,4,5,200,112.0,Standard - S4,5,2.8125,Basic,5,0.0001335144,Basic,200
9880,1,4,2,1,20,16.0,Standard - S1,5,0.9375,Basic,5,7.62939453e-05,Basic,20
