"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\desktop-sfduirb\logicaldisk(_total)\disk writes/sec","\\desktop-sfduirb\logicaldisk(_total)\disk reads/sec","\\desktop-sfduirb\processor(_total)\% processor time"
"08/24/2021 00:45:05.802"," "," "," "
"08/24/2021 00:45:06.820","23.571459088049714126","0","3.1272611056967103416"
"08/24/2021 00:45:07.835","5.9099378658682466536","0","4.2002219834096461426"
"08/24/2021 00:45:08.850","7.8802959405738999266","0","3.6028604025326260718"
"08/24/2021 00:45:09.871","21.550301243824613096","0.9795591474465733528","2.6125342081422475715"
"08/24/2021 00:45:10.887","4.9229266602077874637","0","3.087810639562860171"
"08/24/2021 00:45:11.900","1.9752155873743033609","0","2.5918154371426971316"
"08/24/2021 00:45:12.918","1.963609601422595885","0","1.8182378710423829915"
"08/24/2021 00:45:13.935","4.9151038684324994676","0.98302077368649987132","2.8506687338773595286"
"08/24/2021 00:45:14.955","1.9615083410690317134","0","3.8357754889427719824"
"08/24/2021 00:45:15.970","3.9389490470352854778","0","3.6356882419490532676"
"08/24/2021 00:45:16.988","1.9651637389165994563","0","6.1695402143580269083"
"08/24/2021 00:45:18.004","1.9678521828154356133","0","3.5205353821810891901"
"08/24/2021 00:45:19.018","4.9344098505031714907","0","3.8246740520762712023"
"08/24/2021 00:45:20.035","1.9663956744014510214","0","3.7892659636233894105"
"08/24/2021 00:45:21.049","6.9013813311916702986","0","3.5311093163900464376"
"08/24/2021 00:45:22.054","2.9871525555737328261","0","2.3739079818167696523"
"08/24/2021 00:45:23.066","10.867958649590928388","0","3.7065696957241933696"
"08/24/2021 00:45:24.084","59.873550986451107292","0.98153362272870670058","4.7191033514190072751"
"08/24/2021 00:45:25.104","16.676666126473481455","0.98098036038079305943","3.0519451536086483756"
"08/24/2021 00:45:26.119","10.831082765620489994","0","3.8458887566656163592"
"08/24/2021 00:45:27.138","3.9268718293577848932","0","4.4968425691238493869"
"08/24/2021 00:45:28.154","3.9372066719510541155","0","3.8839519995779614447"
"08/24/2021 00:45:29.169","7.8833461848299783981","0","4.361616568255111126"
"08/24/2021 00:45:30.183","4.9292689342092446125","0","3.5183158954220306036"
"08/24/2021 00:45:31.185","61.876222803903068836","0","3.7198782782327244334"
"08/24/2021 00:45:32.204","2.944524568229639705","0","3.3690352128880163285"
"08/24/2021 00:45:33.219","1.9700056785413686544","0","3.6287980334088087986"
"08/24/2021 00:45:34.236","31.484436062587914051","0.98388862695587231411","4.1099971496956761996"
"08/24/2021 00:45:35.249","1.9742810408804505329","0","3.7962126120705041998"
"08/24/2021 00:45:36.268","1.9613633004801709347","0","2.8715461349079429709"
"08/24/2021 00:45:37.284","9.8501700484106304856","0","3.8147210889151073054"
"08/24/2021 00:45:38.303","3.9233887721244800062","0","3.8291629859675380132"
"08/24/2021 00:45:39.320","5.902541949365633478","0","3.5506590144795735497"
"08/24/2021 00:45:40.337","1.9658597009180369675","0","1.5111277473117579184"
