Seconds,Processor,DiskRead,DiskWrite,LogBytes
02:09.8,16.9922232,128.0401452,1040.32618,52381223.41
02:10.8,17.59459231,107.3247344,1147.094638,49949789.98
02:11.8,17.58024819,91.99493073,984.9457258,39597946
02:12.8,18.93975244,70.88672405,1055.424558,46272837.13
02:13.8,17.59628808,49.23855007,797.6645111,39811345.15
02:14.8,17.57887179,32.9836423,806.5999798,44747600.15
02:15.8,17.88247029,51.21235754,813.4886024,41619353.27
02:16.8,17.77319332,72.85724444,813.4062222,40357148.72
02:17.8,17.78811541,73.01806181,940.3542284,46431467.16
02:18.8,18.45782911,40.99719802,817.944097,41408241.92
02:19.8,17.97925219,0,891.0393415,49233607.89
02:20.8,17.57778383,1.000097829,942.0921553,50729314.33
02:21.8,19.04275951,178.9875376,972.9322574,48799418.23
02:22.8,17.3834131,239.0118432,854.0423184,42775111.54
02:23.8,17.87059722,123.9979343,916.9847237,50623156.65
02:24.9,18.07668601,66.95488017,1007.277094,48220621.13
02:25.9,14.25774141,62.99714755,754.9658159,37049714.42
02:26.9,18.5542339,46.99345595,659.9081048,34259293.24
02:27.9,18.84782042,33.00613303,813.1510957,36034599.77
02:28.9,19.22948088,154.5856374,1684.688061,28001197.3
02:29.9,21.24910707,91.56525327,3090.573441,50736271.39
02:31.1,12.50059532,20.7790315,1089.652412,51287410.64
02:32.1,16.40595742,93.00297954,1223.039183,34191943.41
02:33.1,17.67529428,169.9970954,1067.981752,44843265.79
02:34.1,15.86530883,75.81244214,1024.944835,50200644.08
02:35.1,18.17311598,104.3591232,958.9225093,41932929.16
02:36.1,16.53744745,212.6559688,1131.211612,46569829.89
02:37.1,17.96864336,210.0168657,895.0718799,27143811.82
02:38.2,16.44156685,147.6929114,891.0805655,31549159.36
02:39.2,17.57809703,163.9920842,1033.950092,44789134.06
02:40.2,14.20323337,47.49574235,940.2218384,49299665.54
02:41.2,14.55074582,72.03849581,924.4940296,45366963.12
02:42.2,17.08991462,115.9909329,802.937234,24999005.82
02:43.2,17.57784152,93.99461979,912.9477433,32637619.84
02:44.2,13.08566926,43.00222263,483.0249659,20524580.84
02:45.2,18.749935,98.98790684,1528.813228,38769023.66
02:46.2,17.1871439,101.0108733,1232.132632,41544568.05
02:47.2,17.13906724,125.0922012,1092.151142,32431534.96
02:48.2,15.62928603,80.65588258,1065.665849,34719970.04
02:49.2,13.84133532,16.72813822,945.6318138,50824067.19
02:50.2,10.84003615,7.00478448,873.5966931,49174835.91
02:51.3,13.4603321,24.61093073,620.1954545,33293320.58
02:52.3,18.26136852,79.99853059,968.9822018,45587130.66
02:53.3,19.23158835,87.63768844,1078.238976,48997069.67
02:54.3,17.01770657,107.3258178,324.9313749,865601.4285
02:55.3,16.50383485,86.00102862,277.0033131,269827.2273
02:56.3,16.92241435,110.2636466,421.3646494,241949.9445
02:57.3,18.06612142,194.9747645,398.9483642,245728.1955
02:58.3,17.38234734,387.0076045,373.0073294,306694.0264
02:59.3,18.16393088,218.9653926,313.9503803,245721.1639
03:00.3,16.11342261,68.01103963,383.0621791,2436491.494
03:01.3,14.42221992,95.50788186,108.3079073,359944.5913
03:02.3,14.25824728,94.996916,115.9962343,396275.1352
03:03.3,17.11640226,86.63328133,96.47797239,274706.2593
03:04.3,15.76668122,58.0648267,154.511488,120932.3035
03:05.3,18.65209596,81.06270918,187.144773,255173.3992
03:06.3,18.85050835,87.98801037,221.9697534,184294.8872
03:07.4,12.40122659,58.07259008,351.3883841,220730.9621
03:08.4,13.37905726,89.02251195,630.1593542,181805.975
03:09.4,11.52347539,104.0050202,245.0118265,317455.3233
03:10.4,14.13420941,85.6571331,312.1070252,1627225.604
03:11.4,12.69546842,138.0298342,634.1370646,366671.2536
03:12.4,12.8831498,117.1705475,386.9581946,255593.2723
03:13.4,12.60325339,130.9933973,235.988105,353262.1938
03:14.4,12.20537132,108.3104127,227.4518668,271729.1635
03:15.4,14.0417274,134.8772021,333.7472374,354358.8366
03:16.4,12.88428205,144.6128457,458.4325586,362653.6018
03:17.5,11.92744794,183.4636567,354.3081201,453265.8927
03:18.5,13.08575748,235.0036138,436.0067048,552456.4956
03:19.5,12.69489967,225.9259793,505.8342723,614198.7686
03:20.5,13.57794479,186.0192294,376.0388722,1842366.451
03:21.5,12.7829557,218.5473625,379.9967654,569057.954
03:22.5,13.57507561,286.9922767,852.9770454,430068.4264
03:23.5,13.28187437,199.0624983,420.131906,430215.0717
03:24.5,12.4030046,294.3681465,711.7998994,483905.7905
03:25.5,12.97963454,819.2219547,453.9198571,362978.343
03:26.5,14.16104414,1122.777463,790.8432527,429994.7739
03:27.5,12.88475382,615.3741898,653.7735392,483445.8403
03:28.5,13.76921232,914.8987805,638.9293123,368087.2768
03:29.5,12.98775793,729.0594823,521.0425107,556077.3691
03:30.6,14.32536969,226.5495544,846.1133356,1839755.741
03:31.6,12.79319674,173.945239,747.7645905,368523.9822
03:32.6,12.69175259,142.7752789,334.7834126,362479.8474
03:33.6,14.06595455,202,404,430080
03:34.6,14.51589542,233.3746274,436.2234596,484001.2525
03:35.6,13.17142931,174.2587995,788.5949062,362930.8692
03:36.6,10.64849721,125.0258486,479.0990518,307263.5255
03:37.6,11.91373527,195.9805781,794.9212222,368603.4709
03:38.6,12.8792553,153.5658147,634.9355801,362887.8329
03:39.6,12.11025011,146.9797208,599.9172276,306133.7618
03:40.6,10.94122266,131.002686,242.004962,245765.0391
03:41.6,11.03466069,181.003402,321.0060333,307205.774
03:42.6,13.16774564,217.5932935,441.0940972,423450.3333
03:43.6,12.50463725,171.0127837,363.0271374,307222.9659
03:44.6,12.30334039,127.0218339,353.4948711,302489.2044
03:45.6,15.92041672,107.0391388,493.1803313,307312.3687
03:46.7,19.80395196,149.6350252,479.4227451,362400.2799
03:47.7,15.86477865,72.86330728,178.2197111,180480.4429
03:48.7,12.79398159,176.9085622,289.8501867,368449.5614
03:49.7,12.21515637,452.8674756,316.3195817,421989.9691
03:50.7,12.88055191,277.4215453,618.0280689,544907.2528
03:51.7,12.69549334,205.9909369,455.979938,552423.6947
03:52.7,12.60383949,140.8024114,471.6388465,362974.8316
03:53.7,12.87501855,192.0057917,368.257262,497584.4861
03:54.7,15.52737379,161.0323298,309.062049,368714.0251
03:55.8,13.17257621,198.8499653,341.5888018,483351.1077
03:56.8,12.97963454,476.4822458,470.5754411,483381.3937
03:57.8,12.79405135,204.017081,623.0521641,614451.4441
03:58.8,12.9795917,196.9449215,698.1697468,544009.14
03:59.8,12.79747837,162.9824558,390.9579155,430033.7092
04:00.8,12.88172713,573.0619936,516.9373654,423475.0897
04:01.8,12.69814731,883.0241404,575.01572,491021.4237
04:02.8,12.78445859,696.0518559,432.2019303,422915.9882
04:03.8,13.38194163,233.9673191,593.9170407,429508.0056
04:04.8,12.39928706,265.9126672,551.522569,604594.7979
04:05.8,12.49985108,223.4574785,583.7457479,483849.4266
04:06.9,12.97864918,147.7293839,472.7340283,302045.5285
04:07.9,14.45283914,254.0441667,852.1481498,321079.8212
04:08.9,14.25842734,184.9747945,337.9539489,184294.8872
04:09.9,19.92532923,264.9805314,392.9711278,245741.9449
04:10.9,19.3229232,96.49570542,259.9476146,241987.5976
04:11.9,16.01673858,44.00071422,279.0045288,122881.9946
04:12.9,9.425018619,41.33423129,143.6856611,120932.151
04:13.9,12.11092177,255.1125661,303.3771056,241566.9753
04:14.9,12.30486416,728.0127501,219.0038355,307205.3803
04:15.9,12.69085119,260.8797054,388.8584288,361900.2029
04:16.9,12.793563,139.0370601,494.13171,368738.2866
04:17.9,13.08548674,128.9669462,387.9005824,368545.543
04:18.9,12.98839441,154.9900029,424.9725887,368616.2238
04:19.9,12.30692385,173.3585649,386.1168036,482630.2446
04:20.9,12.89032383,176.0074432,536.0226678,456211.2927
04:21.9,12.99196044,213.985832,702.9534575,552411.4249
04:23.0,12.59174002,133.9071133,682.335511,362462.925
04:24.0,14.0665045,200.9237858,614.7668073,552750.3313
04:25.0,14.70612534,182.2360663,1853.882577,484176.6017
04:26.0,14.06665058,193.9353007,1012.662163,429936.5677
04:27.0,13.55791237,203.8231616,496.265089,482464.1932
04:28.0,13.07344815,280.6582006,547.5296826,604031.5946
04:29.0,12.78747279,264.8200736,498.1373875,544367.6874
04:30.0,12.99218665,514.054896,423.0451771,429101.8239
04:31.0,12.78343663,473.5395968,741.3208241,423409.3759
04:32.0,12.70030354,139.0057003,552.022637,368655.1176
04:33.1,12.58969156,162.4480594,594.6583509,302448.7507
04:34.1,13.38016599,308.0569784,709.1311614,430159.5626
04:35.1,13.748077,298.9766104,297.9931347,362548.4791
04:36.1,13.27015189,274.0904402,526.4902701,423526.9145
04:37.1,12.69486474,279.0034562,360.0044596,491526.0889
04:38.1,13.07761632,291.4551905,360.3804045,483973.1596
04:39.1,11.92559553,186.0611401,255.9571239,362907.8237
04:40.1,12.78405496,173.3130619,268.8321926,362507.9025
04:41.1,13.67173324,204.9992995,325.998886,430078.5303
04:42.1,12.49948375,191.0153397,267.0214435,367645.5242
04:43.1,11.81998129,160.9848714,242.9771661,245224.9549
04:44.1,12.89102941,198.9814706,438.9591236,307171.3959
04:45.1,12.78373721,238.2632662,306.1978338,423439.1138
04:46.1,12.69552826,293.013768,460.0216154,408595.199
04:47.1,13.28706844,251.9825628,669.9536392,430050.2405
04:48.2,12.68503941,362.3554878,401.7419539,422979.1364
04:49.2,12.69504809,284.9840528,485.9728059,368619.3728
04:50.2,11.81671864,138.0192788,437.0610494,245794.333
04:51.2,12.59538054,306.1261223,622.0955283,241908.5396
04:52.2,12.30580249,422.9804865,212.990174,307185.8285
04:53.2,12.78554189,455.9577965,397.8551831,302023.2931
04:54.2,12.9899854,501.9039516,475.9089262,306629.3209
04:55.2,15.19234206,375.2572625,239.3373092,180533.2157
04:56.2,11.8394379,604.835778,238.094084,235943.5568
04:57.3,12.68752288,294.2675421,349.7523312,365248.4401
04:58.3,12.89074324,615.5420607,343.4182459,431863.5065
04:59.3,12.79251524,636.2491188,335.9633198,486102.2551
05:00.3,12.78932026,199.637439,317.8307487,427164.5263
05:01.3,12.97801511,177.2469998,354.4939995,423502.1648
05:02.3,12.79282175,174.0046083,322.0085281,368649.7633
05:03.3,12.50489973,163.001114,459.0031371,430082.9394
05:04.3,13.16832575,202.8238355,368.2335654,482429.2923
05:05.3,12.79252524,219.9926702,437.985407,491503.6238
05:06.3,12.6969613,139.9812843,408.9453234,306647.0009
05:07.3,14.03669008,171.3428745,273.7547076,302508.7992
05:08.3,13.08589654,137.9708268,563.8807704,305599.3826
05:09.3,12.49934276,213.7136469,628.3378189,423566.6601
05:10.3,12.40649193,291.8867882,572.7778412,429913.2529
05:11.3,11.91711498,192.0696117,583.1036417,363100.2137
05:12.3,12.79434785,162.9729195,264.9559734,306637.0475
05:13.4,12.49893783,225.5055397,602.6610929,363014.6818
05:14.4,13.96674994,237.7077694,356.5616541,469950.2576
05:15.4,15.9582558,229.6651513,538.1852902,363363.7828
05:16.4,18.35898629,171.0182631,579.0618382,430125.9332
05:17.4,13.0909112,163.9832587,435.9554927,368602.3688
05:18.4,13.45706978,163.3864181,633.8605617,361828.0811
05:19.4,13.0865297,203.0713037,918.3224472,491692.6462
05:20.4,12.0147203,156.964531,652.8524761,368556.7179
05:21.4,10.48016863,179.1901059,701.9920084,423440.0042
05:22.4,10.6682806,173.3242896,837.0775348,363035.6029
05:23.4,9.710097037,200.887031,490.4006932,482507.0146
05:24.4,8.692460037,188.0245769,1020.133343,429112.0898
05:25.4,8.887056229,180.0033063,600.011021,491529.0284
05:26.4,10.74482303,141.9740436,781.8570571,306631.9401
05:27.5,7.399331709,133.8969202,350.4948793,362939.4166
05:28.5,4.691731687,93.98217539,204.9611272,244689.5923
05:29.5,7.002812556,138.740654,321.1409544,298049.8525
05:30.5,11.13277445,173,478,490496
05:31.5,5.480167457,238.2770953,221.5386217,181484.4389
05:32.5,10.64877525,822.9996484,308.999868,306175.8692
05:33.5,12.39901844,360.3197839,396.7455545,544378.2178
05:34.5,13.86792212,270.9964115,476.9936837,552440.6846
05:35.5,13.7496736,249.0505752,714.6668679,544328.0872
05:36.6,9.42179113,172.2973817,528.7068227,423438.0453
05:37.6,10.09562542,166.4147487,521.8924071,302500.6556
05:38.6,12.4036256,165.4036082,522.7935474,362942.7746
05:39.6,12.59564732,160.497959,558.2965814,422974.155
05:40.6,8.105424053,158.9792875,367.9520617,348114.6462
05:41.6,10.2880466,204.8405542,486.4963162,423547.2382
05:42.6,11.91407,217.9874294,709.959059,430055.2001
05:43.6,13.46047696,203.8179322,401.7280983,423468.6777
05:44.6,12.20714413,255.9963914,607.9914296,491001.0787
05:45.6,13.55678036,302.3253333,843.9505232,4849936.479
05:46.7,21.73051459,152.6031717,3104.243874,29333582.52
05:47.7,16.99175666,93.02229161,2489.5966,36835451.15
05:48.7,17.62994445,20.06000562,572.1877794,6376651.662
05:49.7,20.54939815,20.36243393,479.9716568,17172396.85
05:50.8,17.80290762,61.0824948,938.5373804,39803168.63
05:52.4,15.77051975,92.72037004,804.5735336,17080724.04
05:53.6,16.92681861,23.9856719,724.9003063,35980071.36
05:54.6,18.18182612,17.46598668,538.5345895,27171051.46
05:55.6,17.23412859,24.24169562,671.9798026,34932120.48
05:56.6,17.78795526,17.72208348,498.1874579,21117036.06
05:57.7,16.05687863,11.81670026,391.9205587,20695548.26
05:58.7,17.07170786,47.76437386,834.9212551,30084004.94
05:59.8,18.09990106,34.38434395,732.5775502,31778591.39
06:00.8,19.22680066,70.89399889,981.6849568,29003900.76
06:01.8,18.55637905,37.41541166,1079.139242,41826113.68
06:02.8,18.3591759,29.00141226,809.0393973,31495677.72
06:03.8,18.84723612,37.99774387,940.9441311,39517909.61
06:04.8,18.0661642,28.9985631,668.9668522,33754999.42
06:05.8,17.38323135,18.00113034,748.0469719,35484852.19
06:06.8,18.74906411,37.6457856,685.153298,34133463.92
06:07.9,17.16360939,45.85018794,957.1226732,41323857.39
06:08.9,17.87193592,38.99840078,671.9724441,29405514.15
06:09.9,16.8547843,17.45049355,496.3695943,23144225.07
06:11.0,17.16384677,22.92991235,740.4450863,27815756.93
06:12.3,15.81287579,41.59796591,633.9838137,30387739.32
06:15.5,16.29872394,91.96024813,1063.349217,25317343.03
06:16.5,17.48018943,132.0014096,960.010252,37068683.86
06:17.5,19.90330618,115.2018276,1024.016245,36864584.82
06:18.5,16.40646734,139.004869,1021.035764,34555066.37
06:19.5,19.519232,136.8536942,1032.80234,34874243.77
06:21.7,17.91886008,142.756425,1143.393937,38769315.53
06:22.7,18.35933734,153.0107844,1162.081905,38187651.53
06:23.7,17.78788241,140.7913379,1006.215016,32567371.82
06:24.7,16.50414214,115.0072707,1123.071,35547847.33
06:25.8,17.11463303,144.0950326,982.3776209,22428602.13
06:26.8,19.23899877,100.1383332,845.6125916,33222459.87
06:27.8,18.45658151,146.0218936,1287.192993,36832146.37
06:28.8,18.35891281,175.0096437,1596.08795,52493132.57
06:29.8,18.75004062,162.0015916,1545.015179,47118798.93
06:30.8,17.21153969,272.6888832,1244.327611,53140538.49
06:31.8,16.89428068,205.0308286,1002.150684,40753135.67
06:32.8,18.6529004,355.4510453,1315.464256,41625007.02
06:33.8,20.09584086,343.637666,1466.121733,49898095.36
06:34.8,20.19167659,212.6604405,1388.200097,47713063.52
06:35.8,16.44213615,54.1575298,669.5840047,34033143.15
06:37.0,17.20839205,41.20682926,666.3231965,32766828.95
06:38.0,18.7488941,52.70064641,847.9157574,41691692.17
06:39.1,17.803888,37.8209929,807.8176176,38919857.61
06:40.1,16.63349781,37.41501825,743.3773364,34747351.08
06:41.1,17.98022131,68.91869182,643.8974921,32399441.04
06:42.2,15.26747094,46.62442546,794.4436416,37643339.74
06:44.2,15.2563808,54.43010946,770.0852524,38508197.71
06:45.5,17.49957816,191.1976846,1074.169669,39665251.39
06:46.5,18.46010135,219.6204701,1271.435098,27212358.97
06:47.6,13.44625871,130.8978911,691.3347877,5351152.328
06:48.6,11.07925107,76.60429756,351.9918989,119153.6213
06:49.6,17.96843828,332.1164296,831.2854346,366561.0797
06:50.6,16.40585711,225.2610953,353.9817211,432501.3029
06:51.6,16.60124308,315.0872162,157.0434697,184371.034
06:52.6,17.28603677,339.96355,177.9809173,245733.6531
06:53.6,18.26765592,483.50446,333.8248716,484016.5218
06:54.6,18.26150748,601.9863713,294.9933215,430070.2634
06:55.6,17.67624101,492.9334624,292.9604554,430021.9544
06:56.6,15.4295124,237.0194391,328.0269031,491560.3153
06:57.6,16.89875154,273.9770617,401.966346,614348.5646
06:58.6,18.74518495,267.8051031,371.1857495,543423.8138
06:59.6,17.30758154,306.2554076,357.4620995,484021.4082
07:00.6,17.96847109,522.9720758,378.9797643,552930.4762
07:01.6,17.4986865,513.0162728,273.739969,362486.8608
07:02.6,15.33156432,507.550345,304.73003,491084.9322
07:03.6,18.75030875,345.2564679,372.2765393,466778.7386
07:04.7,17.59937924,296.3858997,450.9792095,604477.5655
07:05.7,17.2853337,269.0047112,394.0069005,489992.5815
07:06.7,18.93814811,225.4843885,551.4028714,544470.9496
07:07.7,16.99311138,243.9811363,388.9699264,552917.2506
07:08.7,17.11384787,264.9043238,316.9040615,482243.6047
07:09.7,17.21095278,354.7599225,472.3544372,485208.8023
07:10.7,18.07620025,279.60557,315.0485295,422921.146
07:11.7,19.62849207,307.0283285,465.042908,430119.6858
07:12.7,23.53564937,210.9722433,324.9572468,368079.5734
07:13.7,25.09517908,226.3951438,565.9878595,454585.6995
07:14.7,24.70661589,253.1155814,506.2311629,406713.7197
07:15.7,17.96916836,315.9777294,343.9757561,490461.4315
07:16.8,17.69203215,304.2411274,367.2554709,483446.0436
07:17.8,18.1718027,240.1114071,458.573425,544147.556
07:18.8,19.53097641,578.2801192,442.2142088,553227.9839
07:19.8,18.45773126,435.070807,377.0613661,429637.9228
07:20.8,17.48367163,463.945897,373.9563911,491462.6881
07:21.8,17.68770428,588.7608054,605.4981527,483925.9382
07:22.8,17.09027113,248.8843307,378.8239412,491291.6717
07:23.8,17.38232429,150.9167747,436.7591427,561354.4328
07:24.8,10.93768703,140.1749014,266.3323127,397295.7206
07:25.8,14.03752804,187.0525912,540.4835399,7573968.129
07:26.8,20.31215734,270.0071509,848.022459,27993829.39
07:27.8,14.42650022,256.9751819,640.961086,17440001.75
07:28.8,9.323220659,174.2884112,193.9820169,120997.5139
07:29.8,8.187205258,109.2717054,57.09692712,120966.7311
07:30.9,11.43322717,315.0674773,185.1021429,241971.8226
07:32.6,11.46673589,278.9195337,186.1420888,288319.4156
07:33.6,9.51360124,149.2432835,101.1319619,120651.4124
07:34.6,14.30037729,337.3893866,274.1896456,298193.8795
07:35.6,13.17195212,282.6261863,363.3765252,399324.2127
07:36.6,12.01299581,170.0015976,201.0018889,325123.0554
07:37.6,12.49816242,358.3832263,454.871018,423443.5659
07:38.6,12.30843443,145.0032209,181.0040205,227333.0496
07:39.7,11.92266441,104.3695696,133.908127,168377.6543
07:40.7,12.88172713,199.8558011,253.0194132,2458852.502
07:41.7,12.40502917,185.0158853,236.0202645,277527.8284
07:42.7,12.87978844,203.4231645,221.1121354,258620.6153
07:43.7,12.30490924,101.6966526,110.6698867,130171.7154
07:44.7,12.21087784,100.9276237,147.4334895,343486.388
07:45.7,12.11118172,65.9947284,94.99241209,123894.1035
07:46.7,13.77111661,92.99924521,116.9990504,196094.4085
07:47.7,11.8227656,93.49609912,110.22698,203069.5906
07:48.7,13.47611873,58.02587699,118.0526463,122934.8235
07:49.7,12.31004786,49.96996728,92.94413914,145320.66
07:50.7,13.20729967,46.79463466,101.5543135,1124027.037
07:51.7,12.95006606,165.2459229,257.2691015,364768.0061
07:52.7,12.9912905,316.9936359,313.9936961,430071.3656
07:53.8,12.20777576,160.4935712,243.2019147,362971.473
07:54.8,12.4997025,73.99838793,134.9970591,245754.6462
07:55.8,11.82592591,101.4285545,122.1081627,128063.8898
07:56.8,12.88439356,86.63619596,128.9697917,206666.7074
07:57.8,12.59851653,256.0055771,338.0073636,307206.6926
07:58.8,12.69465938,192.9863783,512.9893014,301972.4815
